PC1,PC2,cluster_kmeans,cluster_agg
3.748982917488974,1.1977421933937182,0,1
3.6568824077444595,1.1478047287473596,0,1
2.526694294078504,-2.1640390975246477,0,1
4.824551350780607,0.6777068652853623,1,0
3.283512979666991,0.23106343466647675,0,1
4.615376067955728,1.08359159382513,1,0
3.730255892887199,1.536756679879815,0,1
7.547828574508652,4.706880518832869,1,0
3.7536577481381777,-1.3787328189666233,1,1
4.9051091619484355,1.6135606707884564,1,0
4.458021173546348,1.8546933920881716,1,0
3.813038550234304,0.9658867673965694,0,0
4.004707633523953,0.822775186063055,0,1
2.92634103030152,0.0704996806059024,0,1
3.127773489452072,0.8361649973080341,0,1
4.7971233352265505,1.0493640227403864,1,0
6.391991305019556,3.238822683983874,1,0
3.4111538928655376,-0.11568734694383101,0,1
4.011091610459553,0.9165843839021433,0,0
3.0179007433738967,-0.6802313608869025,0,1
4.051788408813337,0.43112885033559606,0,1
3.292513697909712,0.1909381229495523,0,1
3.440295535262066,-1.3866032338754455,0,1
2.7445133122917817,-3.0678141818172353,0,1
4.216827603882011,0.46347205554128407,1,0
2.936775127260123,-1.1929456237383744,0,1
2.9305913856863874,0.12283397125526695,0,1
2.4136334114169333,-0.16736945074391535,0,1
2.2511455613020552,-1.2730409010489536,0,1
3.37187061183803,0.6497792267968223,0,1
2.603071824812213,0.6827052463558351,0,1
3.5122556975099783,0.4041209632637429,0,1
3.08222870731464,-0.4141912605265384,0,0
2.816118736702941,0.8233291437637019,0,1
2.3773689238660887,-1.2954715121489353,0,1
3.027688127859419,-0.2331131501997639,0,1
2.589908061929205,0.38631158116688247,0,1
2.9504104968705245,0.9586006643000049,0,1
5.183769019585352,-1.4317928866435998,1,0
3.3685021600139113,1.5184556265154148,0,1
2.4565861516690894,-0.1740160084239315,0,1
3.500767219363984,0.5551078229476145,0,0
2.852067286536324,0.48011372042601763,0,1
2.279270381290304,-0.9243410424894278,0,1
2.5506132561737718,0.37066570508531044,0,1
3.27436256630974,-0.2651238591424146,0,1
2.7554615097911626,0.6536046545303288,0,1
2.6555671081924137,-0.39516073164626697,0,1
2.941928298419705,0.09057436858444169,0,1
2.8130153990921447,-0.5451305344746417,0,1
2.4471614636667027,-0.4029089724879284,0,1
3.331373146777304,0.612945421004129,0,0
3.299731839581904,1.4722607254820343,0,1
2.7111166189669156,-1.2711089707821328,0,1
3.370764367390949,1.1446265416574106,0,1
3.1949109670142453,1.6981369913739102,0,1
2.7147124148344597,-1.3232189488898698,0,1
3.5140438437124395,2.011493821517672,0,1
2.3287988730334552,-1.1756133795951178,0,1
3.3791279249692434,1.6390406393622257,0,1
2.822970323468786,0.6455255196049431,0,1
3.058802559055842,0.11859116424825882,0,1
3.2118703192973235,1.4648996237123166,0,1
2.53211549036651,0.021024466492524953,0,1
2.1210169835788992,-0.5718646593097202,0,1
5.040810628162506,2.6327173785487217,1,0
2.815285346787086,0.7790589679484021,0,1
2.7489062775194912,-0.5985863165739597,0,0
3.5794683046932176,1.754754878494272,0,1
2.022191510655033,-0.6111792953900681,0,1
3.7332424742548103,0.4509789026619665,0,0
2.5120918765534705,0.14568530381178343,0,1
2.436961669697337,-1.1739711900871588,0,1
3.419681431143652,0.7126491821364543,0,1
2.434322569025638,-0.06855700831628003,0,1
2.2149396775909125,-1.1343252511213677,0,1
3.324090762164573,1.0261767914452995,0,1
2.1463254488582795,0.2424456823154159,0,1
